,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,SST,CF,E_COLI,OD%,DBO5,DQO,TOX_D48,TOX_V15
680,OCRBR5140M1,OCRBR5140M1-110922,RIO BRAVO (AGUAS ABAJO DREN RANCHERIAS),LÓTICO,2022-10-17,2022,10.0,150.0,93.0,69.0,2.05,16.11,1.0,1.0
681,OCRBR5131M1,OCRBR5131M1-070822,AGUAS ABAJO DEL PUENTE INTERNACIONAL REYNOSA,LÓTICO,2022-08-03,2022,30.0,2400.0,2400.0,87.0,2.05,36.71,1.0,1.0
682,OCRBR5136M1,OCRBR5136M1-110922,RIO BRAVO 4 (AL NORESTE DE GUSTAVO DIAZ ORDAZ),LÓTICO,2022-10-17,2022,10.0,210.0,210.0,85.0,2.65,30.77,1.0,1.0
683,OCRBR5134M1,OCRBR5134M1-110922,RIO BRAVO 3,LÓTICO,2022-10-17,2022,10.0,43.0,43.0,78.0,3.73,10.0,1.0,1.0
684,OCRBR5193M1,OCRBR5193M1-110922,PUENTE INTERNACIONAL MIGUEL ALEMAN,LÓTICO,2022-08-22,2022,10.0,2400.0,2400.0,91.0,2.0,43.56,1.0,1.0
685,OCRBR5208M1,OCRBR5208M1-070822,PUENTE INTERNACIONAL I NUEVO LAREDO,LÓTICO,2022-08-04,2022,84.0,2400.0,2400.0,87.0,3.33,52.69,1.0,1.0
686,SC-07,SC-07-091022,PMRC 1,LÓTICO Y SEDIMENTOS,2022-10-12,2022,10.0,548.0,20.0,23.6,2.0,49.9,1.0,1.0
687,OCRBR5209M1,OCRBR5209M1-070822,RIO BRAVO FRENTE A COMAPA,LÓTICO,2022-08-04,2022,100.0,1100.0,1100.0,87.0,2.61,39.48,1.0,1.0
689,SC-08,SC-08-091022,PM ESTACIÓN 22,LÓTICO,2022-10-10,2022,10.0,11199.0,1354.0,21.2,2.0,50.74,1.0,1.0
690,SC-08,SC-08-310722,PM ESTACIÓN 22,LÓTICO,2022-07-28,2022,10.0,10462.0,3654.0,10.0,3.04,31.0,1.0,1.0
691,SC-07,SC-07-310722,PMRC 1,LÓTICO Y SEDIMENTOS,2022-07-27,2022,20.6,24196.0,145.0,76.7,2.0,15.48,1.0,1.0
692,SC-09,SC-09-091022,PM SITIO 2 REF 1,LÓTICO Y SEDIMENTOS,2022-10-14,2022,10.0,24196.0,24196.0,10.0,10.8,49.72,1.0,1.0
693,SC-18,SC-18-091022,PM R HONDO,LÓTICO,2022-10-13,2022,11.3,794.0,52.0,21.4,2.0,10.0,1.0,1.0
694,SC-18,SC-18-310722,PM R HONDO,LÓTICO,2022-07-27,2022,30.1,1450.0,74.0,71.9,2.0,10.0,1.0,1.0
695,SD-11,SD-11-110922,HUMEDALES DE MONTAÑA MARÍA EUGENIA,LÓTICO,2022-09-07,2022,42.0,28.0,7.0,74.8,37.44,42.11,1.0,1.0
696,OCRBR5011M1,OCRBR5011M1-110922,RIO PESQUERIA PUENTE LINCOLN,LÓTICO,2022-10-18,2022,28.0,2400.0,1100.0,48.0,8.87,42.87,1.0,1.0
697,OCRBR5038M1,OCRBR5038M1-140822,LA SILLA,LÓTICO,2022-08-10,2022,10.0,2400.0,2400.0,40.0,2.0,26.77,1.0,1.0
698,OCRBR5030M1,OCRBR5030M1-110922,RIO PESQUERIA (AGUAS ABAJO PTAR SANTA ROSA),LÓTICO,2022-08-15,2022,13.0,2400.0,2400.0,38.0,17.2,38.77,1.0,1.0
699,OCRBR5044M1,OCRBR5044M1-110922,LA ARENA,LÓTICO,2022-08-15,2022,10.0,2400.0,2400.0,74.0,21.4,37.51,1.0,1.0
700,OCRBR5029M1,OCRBR5029M1-110922,RIO PESQUERIA (AGUAS ARRIBA PTAR SANTA ROSA),LÓTICO,2022-08-15,2022,34.0,2400.0,2400.0,32.0,20.8,49.57,1.0,1.0
701,OCRBR5077M1,OCRBR5077M1-140822,RIO RAMOS,LÓTICO,2022-08-11,2022,10.0,2400.0,2400.0,96.0,2.0,20.92,1.0,1.0
702,OCRBR5082M1,OCRBR5082M1-140822,RIO PILON,LÓTICO,2022-08-11,2022,10.0,2400.0,2400.0,87.0,2.0,32.64,1.0,1.0
703,OCRBR5049M1,OCRBR5049M1-110922,LOS RAMONES,LÓTICO,2022-08-17,2022,126.0,2400.0,2400.0,85.0,9.73,59.98,1.0,1.0
704,OCPBC4234,OCPBC4234-180922,ARROYO ALAMAR 3,LÓTICO,2022-09-22,2022,96.3,2419600.0,2419600.0,10.0,199.25,271.28,1.0,2.78
705,OCPBC4260,OCPBC4260-250922,RIO TECATE,LÓTICO,2022-09-22,2022,31.2,2419600.0,2419600.0,10.0,95.5,179.28,1.0,2.82
706,OCFSU2931,OCFSU2931-280822,RIO SAN VICENTE 5,LÓTICO,2022-08-24,2022,14.0,20.0,3.0,57.6,16.86,68.07,1.0,1.0
707,OCFSU2940,OCFSU2940-280822,RIO SAN VICENTE 3,LÓTICO,2022-08-24,2022,16.0,93.0,28.0,58.5,8.58,28.56,1.0,1.0
708,OCFSU2965,OCFSU2965-280822,RIO SAN VICENTE 4,LÓTICO,2022-08-24,2022,14.0,9.0,3.0,58.3,14.76,29.51,1.0,1.0
709,OCFSU6485,OCFSU6485-210822,ARROYO SABINAL,LÓTICO,2022-08-19,2022,34.0,23.0,3.0,90.0,48.0,61.4,1.0,1.0
710,OCFSU2941,OCFSU2941-280822,RIO SAN VICENTE 2,LÓTICO,2022-08-24,2022,20.0,20.0,15.0,54.8,28.92,66.64,1.0,1.0
711,OCFSU6489,OCFSU6489-280822,RÍO EL TABLÓN II,LÓTICO,2022-08-26,2022,328.0,2400.0,2400.0,86.1,30.24,40.94,1.0,1.0
712,OCFSU6490,OCFSU6490-280822,RÍO EL TABLÓN III,LÓTICO,2022-08-26,2022,122.0,2400.0,1100.0,90.5,19.08,25.7,1.0,1.0
713,OCFSU6486,OCFSU6486-210822,PUENTE,LÓTICO,2022-08-19,2022,58.0,2400.0,1100.0,85.2,30.78,44.74,1.0,1.0
714,OCGCE3174M1,OCGCE3174M1-040922,RIO MEDIO,LÓTICO,2022-08-31,2022,13.0,24000.0,24000.0,30.0,13.0,79.54,1.0,1.0
716,OCGCE3214,OCGCE3214-110922,PUENTE ENTABLADERO (ESPINAL),LÓTICO,2022-09-09,2022,31.0,24000.0,11000.0,69.3,2.43,31.21,1.0,1.0
717,OCGCE3293M1,OCGCE3293M1-040922,COETZALA,LÓTICO,2022-08-30,2022,92.0,2100.0,1500.0,63.0,2.25,45.38,1.0,1.0
718,OCGCE3311,OCGCE3311-110922,PUENTE MISANTLA,LÓTICO (HUMEDAL),2022-09-06,2022,10.0,2400.0,930.0,67.2,2.0,38.29,1.0,1.0
719,OCGCE3243,OCGCE3243-110922,MARTINEZ DE LA TORRE (CITROSOL),LÓTICO,2022-09-06,2022,65.7,11000.0,2100.0,10.0,780.0,1581.6,1.4,13.51
720,OCGCE3247,OCGCE3247-250922,LAS MARGARITAS,LÓTICO (HUMEDAL),2022-09-21,2022,11.0,4600.0,750.0,66.0,2.0,18.29,1.0,1.0
721,DLBAJ120M1,DLBAJ120M1-110922,BOCA DE LA SIERRA,LÓTICO (HUMEDAL),2022-10-05,2022,10.0,52.0,10.0,120.7,2.0,10.0,1.0,1.0
722,OCGCE3281M1,OCGCE3281M1-110922,PLAN DE SEDEÑO,LÓTICO,2022-09-05,2022,33.0,930.0,230.0,37.5,2.0,32.04,1.0,1.0
723,DLBAJ126,DLBAJ126-110922,MANANTIAL SAN BARTOLO,LÓTICO,2022-09-11,2022,10.0,173.0,10.0,98.9,2.0,10.0,1.0,1.0
724,DLBAJ155,DLBAJ155-250922,RIO MULEGE 2,LÓTICO,2022-09-22,2022,10.0,2481.0,10.0,118.6,2.0,10.0,1.0,1.0
725,OCGCE3282,OCGCE3282-110922,LA ORDUÑA III (PUENTE),LÓTICO,2022-09-05,2022,12.0,4600.0,2400.0,54.3,2.0,30.38,1.0,1.0
726,DLBAJ156,DLBAJ156-250922,RIO MULEGE 1,LÓTICO,2022-09-22,2022,10.0,9804.0,10.0,103.8,2.0,49.13,1.0,1.0
727,DLBAJ109,DLBAJ109-021022,MANANTIAL SAN REGIS,LÓTICO,2022-09-29,2022,13.2,1956.0,98.0,81.6,2.0,10.0,1.0,1.0
728,DLBAJ112,DLBAJ112-110922,AGUA CALIENTE II,LÓTICO,2022-10-05,2022,10.0,355.0,20.0,108.9,2.0,10.0,1.0,1.0
731,OCGCE3183,OCGCE3183-040922,VILLA AZUETA,LÓTICO (HUMEDAL),2022-08-19,2022,128.1,8664.0,933.0,92.8,2.0,10.0,1.0,1.0
732,DLQUE2125,DLQUE2125-040922,ENTRADA PRESA CENTENARIO,LÓTICO,2022-08-31,2022,48.2,68670.0,32550.0,10.0,205.0,360.0,1.0,6.41
733,OCGCE3191,OCGCE3191-250922,"COMPAÑIA INDUSTRIAL AZUCARERA, S.A DE C.V. (AGUAS ARRIBA)",LÓTICO,2022-08-25,2022,98.0,48840.0,12910.0,93.0,8.1,11.7,1.0,1.0
734,OCGCE3184,OCGCE3184-040922,LOMA BONITA,LÓTICO (HUMEDAL),2022-08-19,2022,10.0,2359.0,63.0,46.2,2.0,10.0,1.0,1.0
735,OCGCE3198,OCGCE3198-280822,LERDO DE TEJADA,LÓTICO (HUMEDAL),2022-08-25,2022,12.0,24000.0,11000.0,51.0,2.0,61.21,1.0,1.0
736,OCGCE3212,OCGCE3212-110922,PROGRESO DE ZARAGOZA,LÓTICO,2022-09-09,2022,24.0,11000.0,4600.0,68.5,2.57,34.54,1.0,1.0
737,OCGCE3186,OCGCE3186-250922,PALOMARES,LÓTICO,2022-08-19,2022,13.6,19863.0,591.0,90.7,2.0,10.0,1.0,1.0
738,OCGCE3305,OCGCE3305-040922,EL LIMONCITO,LÓTICO,2022-08-30,2022,11.0,24000.0,24000.0,67.0,2.0,38.71,1.0,1.0
739,OCGCE3237,OCGCE3237-110922,PUNTILLA ALDAMA,LÓTICO,2022-09-07,2022,274.6,2400.0,430.0,46.4,5.0,58.29,1.0,1.0
741,OCGCE3240,OCGCE3240-110922,MARTINEZ DE LA TORRE (CITROFRUT),LÓTICO,2022-09-07,2022,18.0,11000.0,2400.0,16.3,4.33,52.88,1.0,1.0
742,OCFSU2943,OCFSU2943-280822,RIO SAN VICENTE 0,LÓTICO,2022-08-24,2022,14.0,28.0,15.0,55.4,30.42,67.59,1.0,1.0
743,OCGCE3268,OCGCE3268-110922,XALAPA-CASTILLO (PUENTE EL TRONCONAL),LÓTICO,2022-09-05,2022,50.0,24000.0,2100.0,26.4,6.0,54.54,1.0,1.0
745,OCPSU4719M1,OCPSU4719M1-110922,LOS PERROS XADANI,LÓTICO,2022-10-18,2022,39.0,24196.0,24196.0,62.3,10.0,10.0,1.0,1.0
746,OCPSU4724,OCPSU4724-110922,RIO TEHUANTEPEC 4,LÓTICO,2022-09-06,2022,10.0,3255.0,20.0,87.0,2.0,10.87,1.0,1.0
747,OCPSU4696M1,OCPSU4696M1-250922,SAN ANTONIO DE LA CAL 1,LÓTICO,2022-09-23,2022,57.9,210.0,150.0,10.0,53.33,124.54,1.76,1.0
748,DLHID6516,DLHID6516-301022,SOLEDAD DE COYUL,LÓTICO,2022-10-27,2022,10.0,10.0,10.0,107.4,4.24,10.0,1.0,1.0
749,OCGCE3420,OCGCE3420-250922,MEXPAPE (LA CORTINA),LÓTICO,2022-10-24,2022,10.0,240.0,93.0,56.2,2.0,13.24,1.0,1.0
750,DLHID6518,DLHID6518-301022,HUATEPANGO,LÓTICO,2022-10-27,2022,10.0,52.0,41.0,116.3,2.0,10.0,1.0,1.0
751,OCPSU4753,OCPSU4753-110922,PUENTE SALTILLO,LÓTICO,2022-09-08,2022,45.2,24196.0,24196.0,75.7,16.0,19.32,1.0,1.0
752,OCPSU4754,OCPSU4754-110922,PUENTE LOS PERROS,LÓTICO,2022-09-08,2022,32.7,24196.0,15531.0,76.0,16.9,18.48,1.0,1.0
753,DLHID6520,DLHID6520-301022,CAÑITAS,LÓTICO,2022-10-28,2022,10.0,20.0,10.0,106.1,4.36,10.0,1.0,1.0
754,DLHID6521,DLHID6521-061122,ACOPINALCO,LÓTICO,2022-10-31,2022,48.0,24196.0,24196.0,10.0,9.3,387.44,1.0,2.2
755,DLHID6517,DLHID6517-301022,PALO VERDE,LÓTICO,2022-10-27,2022,10.0,10.0,10.0,103.2,4.88,10.0,1.0,1.0
757,OCPSU4755,OCPSU4755-110922,RIO LOS PERROS 4,LÓTICO,2022-09-07,2022,31.9,24196.0,12033.0,86.4,16.8,19.32,1.0,1.0
759,DLHID6519,DLHID6519-301022,BOCA DEL RIO,LÓTICO,2022-10-28,2022,10.0,10.0,10.0,93.5,4.92,10.0,1.0,1.0
761,OCPSU4756,OCPSU4756-110922,RIO LOS PERROS 3,LÓTICO,2022-09-07,2022,33.0,24196.0,6131.0,91.3,15.5,17.64,1.0,1.0
762,OCPSU4757,OCPSU4757-110922,RIO LOS PERROS 2,LÓTICO,2022-09-07,2022,27.5,12033.0,278.0,92.9,4.72,10.0,1.0,1.0
763,OCRBR5053M1,OCRBR5053M1-110922,LOS HERRERA,LÓTICO,2022-08-17,2022,107.0,2400.0,2400.0,90.0,5.93,85.86,1.0,1.0
764,DLCOL542,DLCOL542-110922,DREN ASMOLES,LÓTICO,2022-09-06,2022,100.8,24196.0,309.0,79.9,9.4,14.21,1.0,1.0
768,OCPSU4758,OCPSU4758-110922,RIO LOS PERROS 5,LÓTICO,2022-09-07,2022,25.4,11199.0,771.0,94.7,17.6,20.16,1.0,1.0
770,DLCOL547,DLCOL547-110922,LA CUMBRE,LÓTICO,2022-09-06,2022,10.0,24196.0,185.0,108.5,2.0,26.75,1.0,1.0
827,OCRBR5059M1,OCRBR5059M1-231022,LAS ENRAMADAS,LÓTICO,2022-10-19,2022,10.0,2400.0,2400.0,86.0,2.0,10.0,1.0,1.0
830,DLHID1435,DLHID1435-061122,PRESA DERIVADORA TLAMACO-JUANDHO (RS1),LÓTICO,2022-11-04,2022,136.0,2400.0,2400.0,30.5,237.75,303.32,1.0,1.0
831,DLHID1438,DLHID1438-061122,DESCARGA TERMOELECTRICA (DCFE),LÓTICO,2022-11-04,2022,84.0,2400.0,1100.0,10.0,17.64,35.22,1.0,1.0
832,DLHID1439,DLHID1439-061122,PUENTE DE LA CD. DE TULA DE ALLENDE (RT-2),LÓTICO,2022-11-04,2022,100.0,2400.0,2400.0,10.0,183.07,263.04,1.0,6.71
833,DLHID1440,DLHID1440-061122,DESCARGA PEMEX (DPM),LÓTICO,2022-11-04,2022,164.0,1100.0,460.0,10.0,93.31,134.57,1.0,5.29
834,DLDUR659,DLDUR659-061122,LA CIENEGA,LÓTICO,2022-11-05,2022,10.0,10.0,10.0,97.1,2.0,10.0,2.24,1.4
835,OCRBR5067M1,OCRBR5067M1-231022,CADEREYTA,LÓTICO,2022-10-18,2022,32.0,2400.0,460.0,66.0,12.17,86.62,1.0,1.0
836,OCRBR5078M1,OCRBR5078M1-231022,RIO BLANQUILLO,LÓTICO,2022-10-19,2022,10.0,2400.0,2400.0,94.0,2.0,10.0,1.0,1.0
837,DLHID1447,DLHID1447-061122,"SALMITEX, S.A. DE C.V. (AGUAS ABAJO)",LÓTICO,2022-11-03,2022,12.0,2400.0,460.0,44.3,19.56,40.94,1.0,1.0
839,DLHID1462,DLHID1462-131122,PISCICOLA TEZONTEPEC DE ALDAMA (RT-2A),LÓTICO,2022-11-07,2022,10.0,2400.0,1100.0,61.0,15.57,30.01,1.0,1.0
840,DLHID1442,DLHID1442-061122,PUENTE CRUZ AZUL (RT-1),LÓTICO,2022-11-03,2022,68.0,1100.0,240.0,24.5,153.66,235.54,1.0,1.0
842,DLDUR660,DLDUR660-061122,EL SALTO - DURANGO,LÓTICO,2022-11-06,2022,10.0,24196.0,24196.0,90.6,2.0,18.39,1.0,1.0
843,DLDUR715,DLDUR715-061122,RIO NOMBRE DE DIOS,LÓTICO,2022-11-04,2022,10.0,17329.0,14136.0,84.3,2.0,10.0,1.0,1.0
844,DLHID1451,DLHID1451-061122,"PILGRIM´S PRIDE, S.A. DE C.V. AGUAS ARRIBA RIO TEPEJI",LÓTICO,2022-11-03,2022,26.0,460.0,460.0,41.5,12.72,17.14,1.0,1.0
845,DLHID1458,DLHID1458-131122,KM 0+00 CANAL ENDHO (SOT),LÓTICO,2022-11-07,2022,14.0,2400.0,2400.0,33.0,132.31,163.39,1.0,1.0
846,DLHID1464,DLHID1464-131122,PUENTE CARRETERA MIXQUIAHUALA-CHILCUAUTLA (RT-3),LÓTICO,2022-11-07,2022,22.0,2400.0,240.0,65.8,13.17,27.1,1.0,1.0
848,DLHID1444,DLHID1444-061122,DESCARGA EMISOR CENTRAL,LÓTICO,2022-11-03,2022,84.0,1100.0,240.0,10.0,183.07,301.93,1.0,1.0
849,DLDUR719,DLDUR719-061122,"BIO PAPPEL PACKAGING, S.A. DE C.V. (ANTES EMPAQUES DE CARTON TITAN, S.A. DE C.V. FUSIONANTE DE EMPAQUES DEL NORTE, S.A. DE C.V.) (AGUAS ABAJO)",LÓTICO,2022-11-04,2022,48.0,880.0,359.0,72.9,12.0,42.72,1.0,1.0
850,DLDUR724,DLDUR724-061122,DERIVADORA FRANCISCO VILLA,LÓTICO,2022-11-04,2022,22.5,2143.0,771.0,141.4,19.5,36.21,1.0,1.0
851,OCCCN5261M1,OCCCN5261M1-061122,PTAR ORIENTE DE GOMEZ PALACIO,LÓTICO,2022-11-02,2022,424.0,24196.0,24196.0,10.4,1165.0,2203.75,2.23,27.78
852,DLHID1495,DLHID1495-131122,RIO TULA (PUENTE DE FIERRO),LÓTICO,2022-11-08,2022,26.0,240.0,240.0,60.1,11.1,22.26,1.0,1.0
853,DLHID1502,DLHID1502-131122,PUENTE DE LA CD. DE IXMIQUILPAN (RT-4),LÓTICO,2022-11-08,2022,16.0,460.0,460.0,72.9,13.05,25.17,1.0,1.0
854,DLDUR727,DLDUR727-061122,ACEQUIA GRANDE,LÓTICO (HUMEDAL),2022-11-04,2022,45.1,24196.0,24196.0,10.0,79.5,239.25,1.0,5.03
855,DLDUR734,DLDUR734-061122,EMBOTELLADORA GUADIANA S.A. DE C.V. (AGUAS ABAJO),LÓTICO,2022-11-04,2022,33.8,24196.0,24196.0,14.5,120.0,195.85,1.44,3.98
856,DLSAN2353,DLSAN2353-131122,INGENIO PLAN DE AYALA S.A. DE C.V.  (AGUAS ABAJO),LÓTICO,2022-11-07,2022,10.0,2400.0,2400.0,88.0,2.0,10.0,1.0,1.0
857,DLSAN2356,DLSAN2356-131122,FIDEICOMISO INGENIO PLAN DE SAN LUIS (AGUAS ABAJO),LÓTICO,2022-11-07,2022,22.0,2400.0,2400.0,90.0,2.0,10.0,1.0,1.0
858,PUENTE EL OLMO 2,PUENTE EL OLMO 2-131122,PUENTE EL OLMO 2,LÓTICO,2022-11-10,2022,10.0,794.0,52.0,28.3,2.0,10.0,1.0,1.0
859,OCRBR5099M1,OCRBR5099M1-231022,EL POPOTE (O CAMACHO),LÓTICO,2022-10-19,2022,10.0,2400.0,2400.0,84.0,2.0,10.0,1.0,1.0
860,DLDUR773M1,DLDUR773M1-061122,PUENTE LOS ÍDOLOS,LÓTICO,2022-11-06,2022,20.6,24196.0,24196.0,93.6,2.0,10.0,1.0,1.0
861,DLSAN2367,DLSAN2367-131122,TAMUIN,LÓTICO (HUMEDAL),2022-11-08,2022,10.0,2400.0,2400.0,88.0,2.0,10.0,1.0,1.0
862,DLSAN2375,DLSAN2375-131122,ESTACION HIDROMETRICA GALLINAS,LÓTICO,2022-11-08,2022,10.0,2400.0,2400.0,88.0,2.0,10.0,1.0,1.0
863,CARMINA 2,CARMINA 2-131122,CARMINA 2,LÓTICO,2022-11-08,2022,10.0,1076.0,41.0,97.9,2.0,10.0,1.0,1.0
864,RIO EL COLORADO,RIO EL COLORADO-131122,RIO EL COLORADO,LÓTICO,2022-11-08,2022,10.0,11000.0,2100.0,71.2,2.0,26.0,1.0,1.0
865,RIO SANTO DOMINGO (REF),RIO SANTO DOMINGO (REF)-131122,RÍO SANTO DOMINGO (REF.),LÓTICO,2022-11-09,2022,10.0,230.0,90.0,88.8,2.0,10.14,1.0,1.0
866,U. RIEGO VECINOS DE ACUITLAPILCO,U. RIEGO VECINOS DE ACUITLAPILCO-131122,UNIDAD DE RIEGO VECINOS DE ACUITLAPILCO,LÓTICO,2022-11-08,2022,28.6,4611.0,3448.0,85.6,2.0,10.0,1.0,1.0
867,U. RIEGO VECINOS DE PUERTA GRANDE Y MALINALTENANGO,U. RIEGO VECINOS DE PUERTA GRANDE Y MALINALTENANGO-131122,UNIDAD DE RIEGO VECINOS DE PUERTA GRANDE Y MALINALTENANGO ,LÓTICO,2022-11-08,2022,26.0,309.0,259.0,91.8,6.72,65.03,1.0,1.0
868,DLSAN2388,DLSAN2388-131122,"INGENIO ALIANZA POPULAR, S.A. DE C.V. (AGUA ABAJO)",LÓTICO,2022-11-08,2022,10.0,2400.0,2400.0,89.0,2.0,10.0,1.0,1.0
869,SANTO DOMINGO,SANTO DOMINGO-131122,SANTO DOMINGO,LÓTICO,2022-11-09,2022,10.0,11000.0,4600.0,72.1,2.0,10.0,1.0,1.0
870,LA CURVA,LA CURVA-131122,LA CURVA,LÓTICO,2022-11-08,2022,10.0,473.0,10.0,45.4,2.0,10.0,1.0,1.0
871,LOURDES M2,LOURDES M2-131122,LOURDES M2,LÓTICO,2022-11-08,2022,10.0,86.0,10.0,53.5,2.0,10.0,1.0,1.0
872,U. RIEGO VECINOS DEL PUEBLO DE MALINALTENANGO,U. RIEGO VECINOS DEL PUEBLO DE MALINALTENANGO-131122,UNIDAD DE RIEGO VECINOS DEL PUEBLO DE MALINALTENANGO,LÓTICO,2022-11-08,2022,10.0,24196.0,1842.0,79.6,4.4,15.73,1.0,1.0
873,DLSAN2392,DLSAN2392-061122,"CITROFRUT, S.A. DE C.V. (AGUAS ABAJO)",LÓTICO,2022-11-03,2022,10.0,2400.0,2400.0,89.0,2.0,10.0,1.0,1.0
874,DLSAN2397,DLSAN2397-061122,TIERRA BLANCA,LÓTICO,2022-11-03,2022,10.0,2400.0,2400.0,91.0,2.0,10.0,1.0,1.0
875,OCAVM2767,OCAVM2767-271122,CUARTO DINAMO,LÓTICO,2022-11-24,2022,12.6,10.0,10.0,97.8,2.0,10.0,1.0,1.42
876,DLSAN2402,DLSAN2402-131122,"INGENIO SAN MIGUEL DEL NARANJO, S.A. DE C.V. (AGUAS ABAJO)",LÓTICO,2022-11-07,2022,10.0,2400.0,2400.0,92.0,2.0,10.0,1.0,1.0
878,OCCCN5252M1,OCCCN5252M1-061122,PTAR NORTE DE GOMEZ PALACIO,LÓTICO,2022-11-02,2022,39.0,1017.0,241.0,52.6,45.9,130.56,1.0,1.0
879,OCAVM2771,OCAVM2771-271122,A.A DE LA PRESA MADIN,LÓTICO,2022-11-25,2022,18.2,24196.0,24196.0,91.0,12.4,21.1,1.0,1.0
880,OCAVM2772,OCAVM2772-271122,A.A. PRESA MADIN,LÓTICO,2022-11-25,2022,22.5,24196.0,24196.0,10.0,51.5,119.79,1.0,1.57
881,U. RIEGO RIO DE TLAPALA A.C,U. RIEGO RIO DE TLAPALA A.C-131122,UNIDAD DE RIEGO RIO DE TLAPALA A.C,LÓTICO,2022-11-08,2022,14.3,148.0,63.0,100.7,2.0,10.0,1.0,1.0
882,SITIO NUEVO 1,SITIO NUEVO 1-271122,RÍO ESLAVA 2,LÓTICO,2022-11-24,2022,235.3,241960.0,241960.0,10.0,461.0,1022.05,2.63,25.64
883,SITIO NUEVO 3,SITIO NUEVO 3-271122,SEGUNDO DINAMO,LÓTICO,2022-11-24,2022,10.0,97.0,30.0,97.8,2.0,10.0,1.0,1.2
884,SITIO NUEVO 4,SITIO NUEVO 4-271122,LA CAÑADA,LÓTICO,2022-11-24,2022,10.0,132.0,30.0,96.5,2.0,10.0,1.0,1.0
